"","No","Type","Land_type","City_code","Prefecture","City_name","District_name","Closet_station","Min_closet_station","Price","Unit_price_py","Room_number","Area_mm2","Unit_price_mm2","Land_shape","open_length","Building_area_mm2","Year_built_Japanese1","Year_built_Japanese2","Building_structure","Usage","Future_usage","Front_road_direction","Front_road_type","Front_road_open_length","City_plan","Building_rate","Floor_area_ratio","Year_traded","Quarter_traded","Remodeled","Note","Year_built_JapanesetoWestern","Year_built_western","House_age","UnitPricePy_corrected_byHouseAge"
"831",14266,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","泊","美<U+6804>橋","7",39000000,1227863.04605714,"３ＬＤＫ","105",NA,NA,NA,NA,"平成","13","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2014","第１四半期","未改<U+88C5>",NA,1988,2001,13,1227818.79145714
"832",14273,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","泊",NA,NA,6500000,477502.295688889,NA,"45",NA,NA,NA,NA,NA,NA,"ＲＣ","住宅","住宅",NA,NA,NA,NA,NA,NA,"2014","第４四半期",NA,NA,0,NA,NA,NA
"833",14275,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","泊",NA,NA,11000000,727272.72728,"３ＬＤＫ","50",NA,NA,NA,NA,"平成","5","ＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2014","第４四半期","未改<U+88C5>",NA,1988,1993,21,727201.23908
"834",14278,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","泊",NA,NA,300000,49586.77686,"１Ｋ","20",NA,NA,NA,NA,NA,NA,"ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2014","第２四半期",NA,NA,0,NA,NA,NA
"835",14296,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","長田","安里","30分?60分",16000000,587695.133155556,NA,"90",NA,NA,NA,NA,NA,NA,"ＳＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2014","第３四半期","未改<U+88C5>",NA,0,NA,NA,NA
"836",14297,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","長田","安里","27",17000000,624426.078977778,"４ＬＤＫ","90",NA,NA,NA,NA,NA,NA,"ＲＣ","住宅","<U+305D><U+306E>他",NA,NA,NA,"第１種住居地域",80,400,"2014","第２四半期","未改<U+88C5>",NA,0,NA,NA,NA
"837",14298,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","長田","安里","26",7100000,469421.487608,"２ＬＤＫ","50",NA,NA,NA,NA,NA,NA,"ＲＣ","住宅",NA,NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2014","第１四半期","改<U+88C5><U+6E08>",NA,0,NA,NA,NA
"838",14299,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","長田","安里","27",8000000,377804.014171429,NA,"70",NA,NA,NA,NA,"平成","5","ＳＲＣ","住宅",NA,NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2014","第１四半期",NA,NA,1988,1993,21,377732.525971429
"839",14300,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","長田",NA,NA,8800000,581818.181824,"２ＬＤＫ","50",NA,NA,NA,NA,"昭和","61","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2014","第３四半期","改<U+88C5><U+6E08>",NA,1925,1986,28,581722.864224
"840",14301,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","長田",NA,NA,12000000,566706.021257143,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","5","ＳＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2014","第１四半期","未改<U+88C5>",NA,1988,1993,21,566634.533057143
"841",14304,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","西","旭橋","8",19000000,897284.533657143,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","12","ＳＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2014","第３四半期","改<U+88C5><U+6E08>",NA,1988,2000,14,897236.874857143
"842",14305,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","西","旭橋","8",23000000,1169739.35156923,"２ＬＤＫ","65",NA,NA,NA,NA,"平成","19","ＳＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2014","第１四半期",NA,NA,1988,2007,7,1169715.52216923
"843",14306,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","西","旭橋","8",16000000,755608.028342857,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","11","ＳＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2014","第１四半期","未改<U+88C5>",NA,1988,1999,15,755556.965342857
