"","No","Type","Land_type","City_code","Prefecture","City_name","District_name","Closet_station","Min_closet_station","Price","Unit_price_py","Room_number","Area_mm2","Unit_price_mm2","Land_shape","open_length","Building_area_mm2","Year_built_Japanese1","Year_built_Japanese2","Building_structure","Usage","Future_usage","Front_road_direction","Front_road_type","Front_road_open_length","City_plan","Building_rate","Floor_area_ratio","Year_traded","Quarter_traded","Remodeled","Note","Year_built_JapanesetoWestern","Year_built_western","House_age","UnitPricePy_corrected_byHouseAge"
"1",3,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","赤嶺","赤嶺","5",28000000,1234159.77962667,"４ＬＤＫ","75",NA,NA,NA,NA,"平成","8","ＲＣ","住宅","事務所",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2019","第４四半期","未改<U+88C5>",NA,1988,1996,23,1234081.48302667
"2",4,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","赤嶺","赤嶺","0",34000000,1404958.6777,"４ＬＤＫ","80",NA,NA,NA,NA,"平成","16","ＳＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,200,"2019","第４四半期","未改<U+88C5>",NA,1988,2004,15,1404907.6147
"3",6,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","赤嶺","赤嶺","0",29000000,1369539.55137143,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","16","ＳＲＣ","住宅","<U+305D><U+306E>他",NA,NA,NA,"近<U+96A3>商業地域",80,200,"2019","第２四半期","未改<U+88C5>",NA,1988,2004,15,1369488.48837143
"4",8,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","赤嶺","赤嶺","7",23000000,1169739.35156923,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","9","ＲＣ","住宅","住宅",NA,NA,NA,"第２種中高層住居<U+5C02>用地域",60,200,"2017","第４四半期","未改<U+88C5>",NA,1988,1997,20,1169671.26756923
"5",9,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","赤嶺","赤嶺","6",23000000,1169739.35156923,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","8","ＲＣ","住宅",NA,NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2017","第３四半期","未改<U+88C5>",NA,1988,1996,21,1169667.86336923
"6",10,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","赤嶺","赤嶺","5",17000000,864589.955507692,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","5","ＲＣ","住宅","住宅",NA,NA,NA,"第１種住居地域",60,200,"2017","第１四半期","未改<U+88C5>",NA,1988,1993,24,864508.254707692
"7",11,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","赤嶺","赤嶺","8",24000000,1133412.04251429,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","8","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2016","第４四半期","改<U+88C5><U+6E08>",NA,1988,1996,20,1133343.95851429
"8",17,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","曙","古島","30分?60分",23000000,950413.22315,"２ＬＤＫ","80",NA,NA,NA,NA,"平成","18","ＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2016","第１四半期","未改<U+88C5>",NA,1988,2006,10,950379.18115
"9",19,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","曙","美<U+6804>橋","30分?60分",25000000,972289.742352941,"３ＬＤＫ","85",NA,NA,NA,NA,NA,NA,"ＲＣ","住宅","住宅",NA,NA,NA,NA,NA,NA,"2016","第２四半期","未改<U+88C5>",NA,0,NA,NA,NA
"10",22,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","曙",NA,NA,55000000,2139037.43317647,"３ＬＤＫ","85",NA,NA,NA,NA,"平成","29","ＲＣ","住宅","住宅",NA,NA,NA,"準住居地域",60,200,"2020","第１四半期","未改<U+88C5>",NA,1988,2017,3,2139027.22057647
"11",23,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","曙",NA,NA,13000000,613931.523028571,"２ＬＤＫ","70",NA,NA,NA,NA,"昭和","59","ＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2019","第４四半期","改<U+88C5><U+6E08>",NA,1925,1984,35,613812.376028571
"12",27,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","曙",NA,NA,29000000,1127856.10112941,"３ＬＤＫ","85",NA,NA,NA,NA,"平成","18","ＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2018","第４四半期","未改<U+88C5>",NA,1988,2006,12,1127815.25072941
"13",32,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","曙",NA,NA,25000000,972289.742352941,"３ＬＤＫ","85",NA,NA,NA,NA,"平成","18","ＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2018","第１四半期","未改<U+88C5>",NA,1988,2006,12,972248.891952941
"14",36,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","曙",NA,NA,7800000,515702.479344,"２ＬＤＫ","50",NA,NA,NA,NA,"平成","5","ＲＣ","住宅","住宅",NA,NA,NA,"第１種住居地域",60,200,"2017","第３四半期","未改<U+88C5>",NA,1988,1993,24,515620.778544
"15",45,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","曙",NA,NA,14000000,544482.255717647,NA,"85",NA,NA,NA,NA,"昭和","60","ＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2016","第１四半期",NA,NA,1925,1985,31,544376.725517647
"16",54,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字安里","安里","5",29000000,1278236.91461333,"４ＬＤＫ","75",NA,NA,NA,NA,"平成","13","ＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2018","第３四半期","未改<U+88C5>",NA,1988,2001,17,1278179.04321333
"17",55,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字安里","安里","4",28000000,1424030.51495385,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","13","ＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2018","第２四半期","改<U+88C5><U+6E08>",NA,1988,2001,17,1423972.64355385
"18",60,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字安里","<U+304A><U+3082><U+308D><U+307E><U+3061>","8",33000000,2181818.18184,"２ＬＤＫ","50",NA,NA,NA,NA,"平成","13","ＳＲＣ","住宅","<U+305D><U+306E>他",NA,NA,NA,"第１種住居地域",60,200,"2018","第４四半期","未改<U+88C5>",NA,1988,2001,17,2181760.31044
"19",66,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字安里","牧志","10",33000000,1558441.55845714,"２ＬＤＫ","70",NA,NA,NA,NA,"平成","25","ＲＣ","住宅","住宅",NA,NA,NA,"第１種住居地域",60,200,"2016","第３四半期","未改<U+88C5>",NA,1988,2013,3,1558431.34585714
"20",68,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","安里","安里","4",16000000,1057851.23968,"２ＬＤＫ","50",NA,NA,NA,NA,"昭和","58","ＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,500,"2020","第４四半期","未改<U+88C5>",NA,1925,1983,37,1057725.28428
"21",70,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","安里","安里","1",32000000,1244530.87021176,"４ＬＤＫ","85",NA,NA,NA,NA,"平成","9","ＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2020","第２四半期","未改<U+88C5>",NA,1988,1997,23,1244452.57361176
"22",72,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","安里","安里","1",19000000,1046831.95593333,NA,"60",NA,NA,NA,NA,"昭和","58","ＳＲＣ","住宅",NA,NA,NA,NA,"商業地域",80,400,"2019","第４四半期","改<U+88C5><U+6E08>",NA,1925,1983,36,1046709.40473333
"23",73,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","安里","安里","3",37000000,1881754.60904615,"２ＬＤＫ","65",NA,NA,NA,NA,"平成","25","ＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2019","第４四半期","未改<U+88C5>",NA,1988,2013,6,1881734.18384615
"24",74,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","安里","安里","1",22000000,1118881.11889231,"３ＬＤＫ","65",NA,NA,NA,NA,"平成","8","ＳＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2019","第３四半期","未改<U+88C5>",NA,1988,1996,23,1118802.82229231
"25",76,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","安里","安里","2",14000000,771349.862266667,"３ＬＤＫ","60",NA,NA,NA,NA,"昭和","58","ＳＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2019","第２四半期","未改<U+88C5>",NA,1925,1983,36,771227.311066667
"26",77,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","安里","安里","2",5000000,275482.093666667,"３ＬＤＫ","60",NA,NA,NA,NA,"昭和","58","ＳＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2019","第１四半期","未改<U+88C5>",NA,1925,1983,36,275359.542466667
"27",79,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","安里","安里","1",23000000,1267217.63086667,"３ＬＤＫ","60",NA,NA,NA,NA,"平成","8","ＳＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2017","第３四半期","改<U+88C5><U+6E08>",NA,1988,1996,21,1267146.14266667
"28",81,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","安里","安里","1",17000000,1021788.12923636,"３ＬＤＫ","55",NA,NA,NA,NA,"平成","8","ＳＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2017","第１四半期","未改<U+88C5>",NA,1988,1996,21,1021716.64103636
"29",82,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","安里","安里","2",13000000,613931.523028571,"３ＬＤＫ","70",NA,NA,NA,NA,"昭和","58","ＳＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2017","第１四半期","未改<U+88C5>",NA,1925,1983,34,613815.780228571
"30",85,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","安里","牧志","3",28000000,1234159.77962667,"４ＬＤＫ","75",NA,NA,NA,NA,"平成","11","ＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2019","第１四半期","未改<U+88C5>",NA,1988,1999,20,1234091.69562667
"31",89,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","安里","牧志","5",18000000,850059.031885714,"２ＬＤＫ","70",NA,NA,NA,NA,"昭和","56","ＳＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2017","第３四半期",NA,NA,1925,1981,36,849936.480685714
"32",90,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","安里","牧志","3",17000000,864589.955507692,"２ＬＤＫ","65",NA,NA,NA,NA,"昭和","56","ＳＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2017","第３四半期","改<U+88C5><U+6E08>",NA,1925,1981,36,864467.404307692
"33",91,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","安里","牧志","3",36000000,1700118.06377143,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","25","ＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2017","第２四半期","未改<U+88C5>",NA,1988,2013,4,1700104.44697143
"34",93,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","安里","牧志","3",11000000,559440.559446154,"１ＬＤＫ","65",NA,NA,NA,NA,"昭和","56","ＳＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2016","第２四半期","未改<U+88C5>",NA,1925,1981,35,559321.412446154
"35",94,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","旭町","旭橋","5",49000000,1905687.89501176,"２ＬＤＫ","85",NA,NA,NA,NA,"平成","21","ＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2020","第１四半期","未改<U+88C5>",NA,1988,2009,11,1905650.44881176
"36",97,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","旭町","旭橋","6",57000000,2093663.91186667,"３ＬＤＫ","90",NA,NA,NA,NA,"平成","21","ＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2016","第２四半期","未改<U+88C5>",NA,1988,2009,7,2093640.08246667
"37",99,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","旭町","旭橋","7",42000000,1633446.76715294,"２ＤＫ","85",NA,NA,NA,NA,"平成","21","ＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2016","第１四半期","改<U+88C5><U+6E08>",NA,1988,2009,7,1633422.93775294
"38",134,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","安謝","古島","26",8500000,936639.118466667,"１ＤＫ","30",NA,NA,NA,NA,"平成","18","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2016","第３四半期","未改<U+88C5>",NA,1988,2006,10,936605.076466667
"39",139,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","安謝",NA,NA,12000000,1322314.0496,"１Ｋ","30",NA,NA,NA,NA,"平成","18","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,300,"2020","第２四半期","改<U+88C5><U+6E08>",NA,1988,2006,14,1322266.3908
"40",142,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字天久","古島","29",23000000,1086186.54074286,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","22","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,300,"2020","第４四半期","未改<U+88C5>",NA,1988,2010,10,1086152.49874286
"41",143,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字天久","古島","29",31000000,1576605.21298462,"２ＬＤＫ＋Ｓ","65",NA,NA,NA,NA,"平成","22","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,300,"2019","第２四半期","未改<U+88C5>",NA,1988,2010,9,1576574.57518462
"42",144,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字天久","古島","29",33000000,1558441.55845714,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","22","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,300,"2019","第１四半期","未改<U+88C5>",NA,1988,2010,9,1558410.92065714
"43",146,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字天久","古島","30分?60分",9000000,850059.031885714,"１ＬＤＫ","35",NA,NA,NA,NA,"昭和","62","ＲＣ","住宅","住宅",NA,NA,NA,"第１種住居地域",60,200,"2018","第３四半期","未改<U+88C5>",NA,1925,1987,31,849953.501685714
"44",148,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字天久","古島","29",5900000,975206.61158,"１Ｋ","20",NA,NA,NA,NA,"平成","3","ＲＣ","住宅","<U+305D><U+306E>他",NA,NA,NA,"近<U+96A3>商業地域",80,300,"2017","第３四半期","未改<U+88C5>",NA,1988,1991,26,975118.10238
"45",149,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字天久","古島","29",30000000,1322314.0496,"３ＬＤＫ","75",NA,NA,NA,NA,"平成","22","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,300,"2017","第１四半期","未改<U+88C5>",NA,1988,2010,7,1322290.2202
"46",150,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字天久","古島","30分?60分",11000000,606060.606066667,"３ＬＤＫ","60",NA,NA,NA,NA,"昭和","62","ＲＣ","住宅","住宅",NA,NA,NA,"第１種住居地域",60,200,"2016","第１四半期","未改<U+88C5>",NA,1925,1987,29,605961.884266667
"47",151,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字天久","美<U+6804>橋","25",29000000,1278236.91461333,"４ＬＤＫ","75",NA,NA,NA,NA,"平成","22","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,300,"2017","第２四半期","未改<U+88C5>",NA,1988,2010,7,1278213.08521333
"48",154,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字天久",NA,NA,7200000,680047.225508571,"１ＤＫ","35",NA,NA,NA,NA,"昭和","62","ＲＣ","住宅","住宅",NA,NA,NA,"第１種住居地域",60,200,"2019","第１四半期","未改<U+88C5>",NA,1925,1987,32,679938.291108571
"49",157,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字天久",NA,NA,40000000,2644628.0992,"１ＬＤＫ","50",NA,NA,NA,NA,"平成","26","ＲＣ","住宅","住宅",NA,NA,NA,"第２種住居地域",60,200,"2017","第３四半期","改<U+88C5><U+6E08>",NA,1988,2014,3,2644617.8866
"50",158,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字天久",NA,NA,25000000,1101928.37466667,"４ＬＤＫ","75",NA,NA,NA,NA,"平成","22","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,300,"2017","第３四半期","未改<U+88C5>",NA,1988,2010,7,1101904.54526667
"51",161,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字天久",NA,NA,11000000,606060.606066667,"３ＬＤＫ","60",NA,NA,NA,NA,"平成","9","ＲＣ","住宅","住宅",NA,NA,NA,"第１種住居地域",60,200,"2016","第３四半期","未改<U+88C5>",NA,1988,1997,19,605995.926266667
"52",166,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","天久","<U+304A><U+3082><U+308D><U+307E><U+3061>","23",40000000,1889020.07085714,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","19","ＲＣ","住宅","住宅",NA,NA,NA,"第１種低層住居<U+5C02>用地域",50,150,"2017","第１四半期","改<U+88C5><U+6E08>",NA,1988,2007,10,1888986.02885714
"53",169,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","天久","<U+304A><U+3082><U+308D><U+307E><U+3061>","19",43000000,1579430.67035556,"３ＬＤＫ","90",NA,NA,NA,NA,"平成","20","ＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2016","第３四半期","未改<U+88C5>",NA,1988,2008,8,1579403.43675556
"54",172,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","天久","古島","21",28000000,1234159.77962667,"４ＬＤＫ","75",NA,NA,NA,NA,"平成","13","ＲＣ","住宅","住宅",NA,NA,NA,"第２種中高層住居<U+5C02>用地域",60,200,"2016","第１四半期","未改<U+88C5>",NA,1988,2001,15,1234108.71662667
"55",173,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","天久","古島","23",27000000,1487603.3058,"２ＬＤＫ","60",NA,NA,NA,NA,"平成","19","ＲＣ","住宅","住宅",NA,NA,NA,"第１種低層住居<U+5C02>用地域",50,150,"2016","第１四半期","未改<U+88C5>",NA,1988,2007,9,1487572.668
"56",176,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","天久",NA,NA,40000000,2034329.30707692,"２ＬＤＫ","65",NA,NA,NA,NA,"平成","19","ＲＣ","住宅","住宅",NA,NA,NA,"第１種低層住居<U+5C02>用地域",50,150,"2020","第３四半期","未改<U+88C5>",NA,1988,2007,13,2034285.05247692
"57",184,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","泉崎","旭橋","3",8300000,914600.550973333,"１ＬＤＫ","30",NA,NA,NA,NA,"昭和","63","ＲＣ","住宅","住宅",NA,NA,NA,"商業地域",80,400,"2016","第３四半期",NA,NA,1925,1988,28,914505.233373333
"58",189,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","泉崎","壺川","7",27000000,892561.98348,"３ＬＤＫ","100",NA,NA,NA,NA,"平成","2","ＳＲＣ","住宅","住宅",NA,NA,NA,"第２種住居地域",60,200,"2020","第１四半期","未改<U+88C5>",NA,1988,1990,30,892459.85748
"59",191,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","泉崎","壺川","8",26000000,818575.364038095,"４ＬＤＫ","105",NA,NA,NA,NA,"平成","2","ＳＲＣ","住宅","住宅",NA,NA,NA,"第２種住居地域",60,200,"2017","第１四半期","未改<U+88C5>",NA,1988,1990,27,818483.450638095
"60",192,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","泉崎","壺川","7",28000000,881542.699733333,"４ＬＤＫ","105",NA,NA,NA,NA,"平成","2","ＳＲＣ","住宅","住宅",NA,NA,NA,"第２種住居地域",60,200,"2016","第３四半期","改<U+88C5><U+6E08>",NA,1988,1990,26,881454.190533333
"61",194,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","字上之屋","美<U+6804>橋","18",2800000,132231.40496,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","18","ＲＣ","住宅","住宅",NA,NA,NA,"第１種住居地域",60,200,"2016","第２四半期","未改<U+88C5>",NA,1988,2006,10,132197.36296
"62",196,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","上之屋","<U+304A><U+3082><U+308D><U+307E><U+3061>","14",53000000,2502951.59388571,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","19","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,300,"2020","第１四半期","改<U+88C5><U+6E08>",NA,1988,2007,13,2502907.33928571
"63",197,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","上之屋","<U+304A><U+3082><U+308D><U+307E><U+3061>","18",30000000,1416765.05314286,"１ＬＤＫ","70",NA,NA,NA,NA,"平成","17","ＳＲＣ","住宅","住宅",NA,NA,NA,"第１種中高層住居<U+5C02>用地域",60,200,"2019","第４四半期","未改<U+88C5>",NA,1988,2005,14,1416717.39434286
"64",198,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","上之屋","<U+304A><U+3082><U+308D><U+307E><U+3061>","16",27000000,1373172.28227692,"１ＬＤＫ","65",NA,NA,NA,NA,"平成","16","ＳＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,300,"2018","第２四半期","未改<U+88C5>",NA,1988,2004,14,1373124.62347692
"65",199,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","上之屋","<U+304A><U+3082><U+308D><U+307E><U+3061>","19",41000000,1694214.87605,"３ＬＤＫ","80",NA,NA,NA,NA,"平成","24","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,300,"2016","第４四半期","未改<U+88C5>",NA,1988,2012,4,1694201.25925
"66",200,"中古<U+30DE><U+30F3><U+30B7><U+30E7><U+30F3>等",NA,47201,"沖<U+7E04><U+770C>","那<U+8987>市","上之屋","美<U+6804>橋","16",30000000,1416765.05314286,"３ＬＤＫ","70",NA,NA,NA,NA,"平成","18","ＲＣ","住宅","住宅",NA,NA,NA,"近<U+96A3>商業地域",80,300,"2019","第２四半期","未改<U+88C5>",NA,1988,2006,13,1416720.79854286
